Date,Open,High,Low,Close,Adj Close,Volume
2023-05-12,236.740005,236.960007,231.449997,233.809998,233.809998,16155300
2023-05-15,236.919998,240.259995,235.330002,238.860001,238.860001,20653200
2023-05-16,235.789993,239.639999,235.520004,238.820007,238.820007,18163800
2023-05-17,238.449997,243.839996,238.139999,242.490005,242.490005,21193100
2023-05-18,241.300003,247.089996,241.190002,246.850006,246.850006,22943300
2023-05-19,247.470001,248.690002,243.410004,245.639999,245.639999,21599800
2023-05-22,245.410004,253.570007,245.119995,248.320007,248.320007,27738500
2023-05-23,246.809998,251.610001,246.649994,246.740005,246.740005,17748100
2023-05-24,245.279999,249.589996,244.949997,249.210007,249.210007,17724300
2023-05-25,253.399994,255.619995,249.169998,252.690002,252.690002,22371400
2023-05-26,252.929993,262.309998,252.710007,262.040009,262.040009,25727200
2023-05-30,265.250000,268.649994,261.290009,262.519989,262.519989,23816500
2023-05-31,260.000000,265.000000,258.450012,264.720001,264.720001,25473700
2023-06-01,265.899994,274.000000,265.890015,272.609985,272.609985,25609500
2023-06-02,272.660004,275.350006,271.119995,272.609985,272.609985,19405300
2023-06-05,270.299988,275.570007,269.559998,271.390015,271.390015,20742900
2023-06-06,270.140015,276.570007,269.690002,271.119995,271.119995,19419000
2023-06-07,271.670013,274.250000,262.799988,263.600006,263.600006,26163600
2023-06-08,260.619995,267.649994,258.880005,264.579987,264.579987,20899400
2023-06-09,262.480011,267.950012,261.700012,264.950012,264.950012,16938500
2023-06-12,267.170013,271.750000,265.329987,271.049988,271.049988,15442500
2023-06-13,274.880005,275.720001,269.089996,271.320007,271.320007,16164000
2023-06-14,271.890015,274.989990,268.320007,273.350006,273.350006,19175100
2023-06-15,272.299988,283.989990,271.420013,281.829987,281.829987,25973500
2023-06-16,284.750000,287.850006,280.130005,281.000000,281.000000,43102500
2023-06-20,278.730011,284.799988,276.220001,284.329987,284.329987,20701600
2023-06-21,283.529999,284.000000,278.359985,281.640015,281.640015,20556200
2023-06-22,279.079987,285.260010,277.790009,284.880005,284.880005,17563100
2023-06-23,281.510010,289.670013,278.950012,288.730011,288.730011,50988400
2023-06-26,288.700012,289.790009,277.600006,278.470001,278.470001,24232700
2023-06-27,282.010010,289.350006,280.649994,287.049988,287.049988,26108300
2023-06-28,284.820007,289.549988,284.059998,285.290009,285.290009,16722100
2023-06-29,284.500000,286.570007,280.690002,281.529999,281.529999,15395700
2023-06-30,284.760010,289.049988,284.420013,286.980011,286.980011,19676000
2023-07-03,286.700012,289.399994,284.850006,286.019989,286.019989,8629300
2023-07-05,287.649994,298.119995,286.359985,294.369995,294.369995,33865500
2023-07-06,295.890015,298.119995,291.309998,291.989990,291.989990,47600500
2023-07-07,292.179993,296.200012,288.660004,290.529999,290.529999,25546200
2023-07-10,295.549988,298.130005,287.049988,294.100006,294.100006,37058300
2023-07-11,293.899994,300.179993,291.899994,298.290009,298.290009,27585900
2023-07-12,301.750000,309.450012,300.100006,309.339996,309.339996,36677100
2023-07-13,313.619995,316.239990,310.290009,313.410004,313.410004,30281000
2023-07-14,311.790009,314.880005,307.359985,308.869995,308.869995,22576000
2023-07-17,307.540009,311.709991,304.709991,310.619995,310.619995,25323100
2023-07-18,310.880005,314.200012,307.619995,312.049988,312.049988,20764600
2023-07-19,313.029999,318.679993,310.519989,316.010010,316.010010,21763700
2023-07-20,313.500000,315.540009,302.220001,302.519989,302.519989,23836900
2023-07-21,304.570007,305.459991,291.200012,294.260010,294.260010,42089700
2023-07-24,295.779999,297.519989,288.299988,291.609985,291.609985,24915700
2023-07-25,295.190002,298.299988,291.859985,294.470001,294.470001,19585600
2023-07-26,301.190002,301.769989,291.899994,298.570007,298.570007,47256900
2023-07-27,325.119995,325.350006,309.839996,311.709991,311.709991,64229200
2023-07-28,316.880005,326.200012,314.250000,325.480011,325.480011,39220300
2023-07-31,323.690002,325.660004,317.589996,318.600006,318.600006,25799600
2023-08-01,317.540009,324.140015,314.660004,322.709991,322.709991,22817900
2023-08-02,318.000000,318.390015,310.649994,314.309998,314.309998,20461100
2023-08-03,309.929993,315.950012,309.929993,313.190002,313.190002,15180200
2023-08-04,314.959991,318.410004,310.200012,310.730011,310.730011,17600200
2023-08-07,313.230011,317.070007,310.459991,316.559998,316.559998,16236500
2023-08-08,314.399994,317.890015,310.109985,312.640015,312.640015,15183500
2023-08-09,312.880005,313.630005,302.850006,305.209991,305.209991,19955800
2023-08-10,307.940002,312.339996,303.869995,305.739990,305.739990,14358900
2023-08-11,302.570007,304.720001,300.359985,301.640015,301.640015,13967800
2023-08-14,300.980011,306.209991,298.250000,306.190002,306.190002,15641900
2023-08-15,306.140015,307.230011,300.029999,301.950012,301.950012,11623600
2023-08-16,300.200012,301.079987,294.279999,294.290009,294.290009,18547700
2023-08-17,293.049988,296.049988,284.950012,285.089996,285.089996,23950100
2023-08-18,279.029999,285.690002,274.380005,283.250000,283.250000,34061200
2023-08-21,283.450012,290.500000,281.850006,289.899994,289.899994,20181500
2023-08-22,292.549988,292.899994,286.750000,287.600006,287.600006,12999900
2023-08-23,288.500000,297.399994,287.670013,294.239990,294.239990,18287000
2023-08-24,298.500000,299.459991,286.640015,286.750000,286.750000,18360900
2023-08-25,286.130005,288.390015,276.029999,285.500000,285.500000,23701400
2023-08-28,288.000000,291.450012,285.799988,290.260010,290.260010,14239300
2023-08-29,288.579987,299.149994,288.179993,297.989990,297.989990,20844500
2023-08-30,297.170013,298.290009,293.429993,295.100006,295.100006,17717000
2023-08-31,295.799988,301.100006,295.660004,295.890015,295.890015,17229900
2023-09-01,299.369995,301.739990,294.470001,296.380005,296.380005,12819800
